Country	Length (km)	Number of stations	Population	Surface area (km^2)	GDP (million dollars)	Ridership (millions)	Passenger kilometers (millions)
Afghanistan	75		30551674	652230	20497		
Albania	423	32	3173271	28748	13119	1	32
Algeria	4316	394	39208194	2381741	207955	27	1040
Angola	2761		21471618	1246700	118700		
Antingua and Barbuda	77		89985	442	1176		
Argentina	36966		41446246	2780400	474865	421	8588
Armenia	869		2976566	29743	9910	1	50
Australia	38445	4481	23342553	7692024	1520608		
Austria	5927	1178	8495145	83871	399649	213.87	10421
Azerbaidjan	2918	176	9413420	86600	67198	3	660
Bangladesh	2835	454	156594962	147570	115610	66	7305
Belarus	5491	1023	9356678	207600	63267	89	7941
Belgium	3513	533	11104476	30528	483709	229	10848
Benin	758		10323474	112622	7557		
Bolivia	2866		10671200	1098581	27035		
Bosnia-Herzegovina	1103	139	3829307	51209	17048	0.8	54
Botswana	888	27	2021144	582000	14411	0.4	
Brazil	28538		200361925	8515767	2252664		
Bulgaria	4159	689	7222943	110879	51030	29	2068
Burkina Faso	622		16934839	272967	10441	0.5	
Cambodia	650		15135169	181035	14062		
Cameroon	974	14	22253959	475442	24984	1.5	495
Canada	46552		35181704	9984670	1821424	4	1369
Chile	5898		17619708	756102	268314	23	840
China	98000	5500	1385566537	9640011	8358363	1543	815699
Colombia	1663		48321405	1141748	369813		
Congo (Democratic Republic)	4007		67513677	2344858	17870	0.05	25
Congo (Republic)	795		4447632	342000	13678	0.6	207
Costa Rica	278		4872166	51100	45127		
Cote d'ivoire	639		20316086	322463	24680		
Croatia	2974	665	4289714	56594	56442	50	1486
Cuba	5076		11265629	109884	68234		
Czech Republic	9487	2808	10702197	78865	195657	166	6635
Denmark	2667	547	5619096	43094	314242	219	10102
Djibouti	98		872932	23200	1239		
Dominican Republic	517		10403761	48671	58951		
Ecuador	966		15737878	276841	84532		
Egypt	6700	705	82056378	1002450	257286	451	40837
El Salvador	562		6340454	21041	23787		
Eritrea	306		6333135	117600	3092		
Estonia	816		1287251	45227	21854	5	243
Ethiopia	699		94100756	1104300	43133		
Fiji	597		881065	18272	3908		
Finland	5919	254	5426323	338424	250024	68	3882
France	29640	5886	64291280	640679	2612878	1151	88064
Gabon	810	23	1671711	267668	18661	0.2	118
Georgia	1513	136	4340895	69700	15829	3	641
Germany	41981	5400	82726626	357114	3430589	1981	79228
Ghana	953		25904598	238533	40710		
Greece	2552		11127990	131990	249099	15.27	1413
Guatemala	885		15468203	108889	50806		
Guinea	837		11745189	245857	6768		
Guyana	187		799613	214969	2851		
Haiti	40		10317461	27750	7843		
Honduras	699		8097688	112492	17967		
Hong Kong	210		7203836	1104	263259		
Hungary	7942		9954941	93028	125508	115.84	5760
India	65000	7500	1252139596	3287590	1841717	7651	978508
Indonesia	8529		249865631	1904569	878043	199	20283
Iran	11106	360	77447168	1648195	514060	29	17877
Iraq	2032		33765232	438317	210280	0.2	100
Ireland	1919		4627173	70273	210331	37	1638
Israel	1200	46	7733144	20770	258217	36	1927
Italy	24179	2260	60990277	301336	2013263	582	40554
Jamaica	272		2783888	10991	14840		
Japan	23474	9250	127143577	377930	5959718	8819	244591
Jordan	251		7273799	89342	31243		504
Kazakhstan	15372		16440586	2724900	201680	21	16595
Kenya	2778		44353691	580367	37229		
Kyrgyzstan	417		5547548	199951	6473		
Latvia	2269	166	2050317	64559	28374	0.34	79
Lebanon	401		4821971	10452	42945		
Liberia	490		4294077	111369	1735		
Lithuania	1766	182	3016933	65300	42246	5	389
Luxembourg	275	67	530380	2586	57117	18	349
Macedonia	699		2107158	25713	9663		
Madagascar	854		22924851	587041	9975		
Malaysia	1849	105	29716965	330803	303526	40	965
Malawi	797		16362567	118484	4264		
Mali	733		15301650	1240192	10308		
Mauritania	728		3889880	1030700	4199		
Mexico	26704		122332399	1964375	1177271	28	449
Moldova	1156		3487204	33846	7254	5	363
Mongolia	1810		2839073	1564110	10271	4	1400
Montenegro	249		621383	13812	4231	1.1	101
Morocco	1989		33008150	446550	96729	34	4819
Mozambique	3116		25833752	801590	14588	4	247
Myanmar	3955		53259018	676578	53140		
Namibia	2382		2303315	825615	12807		
Nepal	59		27797457	147181	19415		
Netherlands	2896	405	16759229	41850	772227	314	16808
New Zealand	4128		4505761	270467	167347		
Nigeria	3528		173615345	923768	262606		
North Korea	5235		24895480	120538	28000		
Norway	4114	665	5042671	323802	499667	51	2663
Pakistan	7791	558	182142594	881912	231182	65	20619
Panama	355		3864170	75417	36253		
Paraguay	36		6802295	406752	25502		
Peru	2020		30375603	1285216	197111	2	76
Philippines	479		98393574	342353	250265		
Poland	19627		38216635	312679	489795	184	15724
Portugal	2794	481	10608156	92090	212454	126	3750
Romania	22298		21698585	238391	169396	53	4814
Russian Federation	87157		142833689	17098242	2022000	993	139842
Saudi Arabia	1412	4	28828870	2149690	711050	1	297
Senegal	906		14133280	196722	14160		
Serbia	3809		9510506	88361	37489	9	590
Sierra Leone	84		6092075	71740	3796		
Singapore	199.4		5411737	710	274701		
Slovak Republic	3658		5450223	49037	91619		
Slovenia	1228	537	2071997	20273	45469	16	773
South Africa	20247	478	52776130	1221037	384313	531	
South Korea	3637	638	49262698	100210	1129598	1218	21603
Spain	15947	1240	46926963	505992	1349351	584	22681
Sri Lanka	1508		21273228	65610	59421		
Sudan	5478		37964306	1886068	58769		
Suriname	166		539276	163820	4738		
Swaziland	301		1249514	17364	3744	0.0004	0.3
Sweden	12821		9571105	450295	525742	31	6431
Switzerland	5223	1952	8077833	41284	632194	402	18030
Syria	2139		21898061	185180	73672	4	1857
Taiwan	1703	225	23329772	36193	474000		
Tajikistan	616	25	8207834	143100	6987	1	32
Tanzania	2722		49253126	945087	28249	1.06	
Thailand	4071	680	67010502	513120	365564	44	7504
Togo	568		6816982	56785	3814		
Tunisia	2218	73	10996515	163610	45662	40	1534
Turkey	12000		74932641	783562	789257		5900
Turkmenistan	3181		5240072	488100	33679	6	1811
Uganda	259		37578876	241550	19881		
Ukraine	22300	1648	45238805	603500	176309	496	50569
United Arab Emirates	52		9346129	83600	348595		
United Kingdom	16321	2656	64291280	242900	2435174	1468	62729
United States	224792	890	320050716	9629091	16244600	21	9518
Uruguay	2993	47	3407062	181034	49060		
Uzbekistan	4280		28934102	447400	51113	16	3025
Venezuela	336		30405207	916445	382424		
Vietnam	3147	19	91679733	331212	155820	12	4571
Zambia	1237		14538640	752612	20678		
Zimbabwe	3000		14149648	390757	10814		
